border_count,depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,random_strength,rsm,subsample,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
"""255""",8.0,205.0,5.957694199395764,0.05318790653577123,5.0,2.152901937348771,0.8052306719311918,0.835682943691902,Catboostt-hpo-20260802-213535-010-49c8b9d1,Failed,,2026-08-02 22:27:14+05:30,2026-08-02 22:41:06+05:30,832.0
"""255""",6.0,151.0,5.446452081881431,0.03639341535504992,18.0,4.914663051490328,0.6978988260937348,0.9030846572186142,Catboostt-hpo-20260802-213535-009-2dd13c40,Completed,2.0211706161499023,2026-08-02 22:22:39+05:30,2026-08-02 22:27:59+05:30,320.0
"""128""",6.0,182.0,3.9975619921042025,0.07616511358777159,6.0,3.483323701332462,0.8796006877765374,0.8137175651864542,Catboostt-hpo-20260802-213535-008-e119c46e,Stopped,2.020319700241089,2026-08-02 22:21:03+05:30,2026-08-02 22:26:59+05:30,356.0
"""255""",4.0,188.0,3.2925145785734,0.03516460653951335,28.0,0.7192016338608387,0.9067654851434686,0.7957388177919875,Catboostt-hpo-20260802-213535-007-f8d468d3,Completed,2.0283892154693604,2026-08-02 22:15:57+05:30,2026-08-02 22:20:37+05:30,280.0
"""255""",4.0,200.0,1.8879931659853089,0.07383373253630862,27.0,0.24163752169595654,0.940001644368049,0.817596971123973,Catboostt-hpo-20260802-213535-006-d1364c58,Stopped,2.017643928527832,2026-08-02 22:10:00+05:30,2026-08-02 22:21:46+05:30,706.0
"""128""",6.0,248.0,4.087504508948095,0.05887446162764873,23.0,4.073712990713623,0.7672039111012308,0.8218565055471364,Catboostt-hpo-20260802-213535-005-f5853531,Completed,2.001533269882202,2026-08-02 21:54:30+05:30,2026-08-02 22:14:53+05:30,1223.0
"""128""",7.0,201.0,6.806359574622376,0.03284918114988361,9.0,1.5790878266847201,0.8541738763146601,0.6293029683892836,Catboostt-hpo-20260802-213535-004-30667f8b,Completed,2.008587598800659,2026-08-02 21:48:37+05:30,2026-08-02 22:07:57+05:30,1160.0
"""255""",6.0,165.0,2.063040981337621,0.06148169840349322,27.0,0.10280741471335564,0.8909206151144979,0.8008880648437022,Catboostt-hpo-20260802-213535-003-e0675d27,Completed,2.0043888092041016,2026-08-02 21:42:46+05:30,2026-08-02 21:48:06+05:30,320.0
"""255""",6.0,171.0,3.891395462479423,0.056302979066752024,7.0,4.5401597786613435,0.9083830923247602,0.6413637623550433,Catboostt-hpo-20260802-213535-002-475e639d,Completed,2.0109617710113525,2026-08-02 21:36:31+05:30,2026-08-02 21:42:06+05:30,335.0
"""64""",6.0,211.0,9.639406483815897,0.030973577764052292,12.0,1.576799271570572,0.7375825850765343,0.7877663207425026,Catboostt-hpo-20260802-213535-001-0b82850c,Completed,2.018932580947876,2026-08-02 21:36:31+05:30,2026-08-02 21:53:39+05:30,1028.0
